Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
239,126.139661175792,116.6964345924903
240,126.3427501217933,117.2760682559104
241,126.5060779946806,117.7949985897675
242,126.6301730391585,118.2520802081555
243,126.7156542597372,118.6463225710116
244,126.7632202156946,118.9768836980979
245,126.7736387009524,119.243063481101
246,126.7477372624371,119.4442967075429
247,126.6863945088374,119.5801458957038
248,126.5905321612458,119.6502940264732
249,126.4611077976677,119.7525165320436
250,126.2991082445278,119.8867154600583
251,126.1055435699233,120.0528915827857
252,125.8814416352878,120.2511373513571
253,125.6278431642522,120.4816300176953
254,125.3457972897103,120.7446249537864
255,125.0363575423614,121.0404491918758
256,124.7005787890518,121.3694952093094
257,124.3327049575867,121.7320050631345
258,123.922050303037,122.1273209643108
259,123.4650668908396,122.554177977163
260,122.9643379035333,123.0114262726859
261,122.4240019573518,123.4983435907294
262,121.8485652822108,124.0146622857833
263,121.243314787523,124.5605741377211
264,120.6152960990814,125.0013779890805
265,119.9742190502014,125.3384830806155
266,119.3321176994144,125.5741616854919
267,118.7012699771757,125.7115951744512
268,118.0919257373273,125.7547034386626
269,117.5114864762396,125.7078458901432
270,116.9649676024144,125.575540706734
271,116.4558262355664,125.3622736182148
272,115.9862969969098,125.0723849259959
273,115.557004732861,124.7099491308858
274,115.1677641412053,124.2786889306177
275,114.8178000653215,123.7819478133972
276,114.5058160543849,123.2226743444173
277,114.2300497505842,122.6034134131161
278,113.9883180525769,121.9263027617657
279,113.7780554021542,121.2812837139428
280,113.5963490351424,120.6696846350516
281,113.4399754502715,120.0924377401651
282,113.3054424166131,119.5500886432733
283,113.1890402626232,119.0428092277259
284,113.0869047545722,118.5704144938627
285,112.9950916084483,118.132384090303
286,112.9096599662212,117.7278890528689
287,112.8267596839818,117.3558238696277
288,112.7427157642427,117.0148434373564
289,112.6541031857136,116.7034038987907
290,112.5578067193903,116.4198058855757
291,112.4510625877679,116.1622384368237
292,112.3314813287842,115.9288218513112
293,112.1970533549722,115.7176479324919
294,112.0461401062545,115.4635892542072
295,111.8774543262659,115.1647853499146
296,111.6900329904404,114.8194423773071
297,111.4832060028343,114.4258548912646
298,111.256563171148,113.9824227454193
299,111.0099213244341,113.4876634956851
300,110.7432928516054,112.9402207858265
301,110.4568564555997,112.3388692440227
302,110.1509305478829,111.6825164255662
303,109.825949441551,110.9702023139984
304,109.4824423208806,110.2010968523122
305,109.1210148513339,109.3744959257797
306,108.7423332289956,108.4898161645156
307,108.3471104375489,107.5465888810458
308,107.9360944728287,106.5444534084121
309,107.5100583013422,105.592659669288
310,107.0697913339504,104.6910417152136
311,106.6160922150862,103.8395200423403
312,106.1497627487434,103.0380943576899
313,105.6716028032966,102.2868364956213
314,105.1824060570009,101.5858835526154
315,104.6829564642085,100.9354312907725
316,104.1740253387014,100.3357278458482
317,103.6563689650111,99.78706776378188
318,103.1307266612534,99.28978638008684
319,102.5978192279798,98.84425454880966
320,102.0583477269984,98.4508737217125
321,101.5129925422171,98.11007137360781
322,100.9624126814878,97.82229676615184
323,100.4072452843271,97.58801703968074
324,99.8481053054141,97.36962219832907
325,99.28558534803643,97.1676046640589
326,98.72025562529255,96.98246485075481
327,98.1526640299476,96.81470843257227
328,97.5833362964777,96.6648438687222
329,97.01277624108354,96.53338016924545
330,96.44146606737455,96.42082488653205
331,95.86986672706877,96.3276823176811
332,95.29841832646433,96.25445190324697
333,94.72754057065106,96.20162680844189
334,94.15763323847698,96.16969267344577
335,93.5890766821883,96.15912652008839
336,93.02223234644525,96.170395802805
337,92.4574433020971,96.2039575924097
338,91.89503479069307,96.26025788187468
339,91.33531477622427,96.2792389839318
340,90.77857450104571,96.26132309096712
341,90.22508904332626,96.2069198682176
342,89.6751178737244,96.11642615192818
343,89.12890540929766,95.99022572465456
344,88.58668156292569,95.82868916043998
345,88.04866228676934,95.63217373310485
346,87.51505010850134,95.40102338137407
347,86.98603465923468,95.13556872502586
348,86.46179319224282,94.83612712668119
349,85.94249109171632,94.50300279426251
350,85.4282823709329,94.13648691953533
351,84.91931015933726,93.73685784850979
352,84.4157071781318,93.30438127981753
353,83.91759620407356,92.83931048749811
354,83.4250905212559,92.3629189158749
355,82.9382943607275,91.8754357397349
356,82.45730332786734,91.37707849277238
357,81.98220481749252,90.86805335801093
358,81.51307841672758,90.34855546888632
359,81.04999629570995,89.81876921893243
360,80.59302358624632,89.27886857820667
361,80.14221874857118,88.72901741477031
362,79.69763392638929,88.16936981970666
363,79.25931529041256,87.60007043431366
364,78.82730005518071,87.0212547639766
365,78.44683452312638,86.43450553274555
366,78.13657279386067,85.8456290321215
367,77.85203314489155,85.25783825797699
368,77.56486249633818,84.67053157983264
369,77.26922385015241,84.04384215977848
370,76.96697657627102,83.37589122065897
371,76.66515992137161,82.6653577509629
372,76.38063785572076,81.9120696173822
373,76.14833080518267,81.11814814792343
374,76.02634917732485,80.28972785844698
375,76.08747382045865,79.43841471857648
376,76.40023105515715,78.58126348561221
377,77.01667760739817,77.73924804605699
378,77.97241215469175,76.9353562884038
379,79.29181273866,76.19315627057524
